weight_run_a,weight_run_b,validation_video_accuracy,validation_video_f1,validation_video_auc
0.0,1.0,0.9466666666666667,0.9461883408071748,0.9880098765432099
0.01,0.99,0.9466666666666667,0.9461883408071748,0.9884839506172839
0.02,0.98,0.9466666666666667,0.9461883408071748,0.9888395061728396
0.03,0.97,0.9466666666666667,0.9461883408071748,0.9890370370370369
0.04,0.96,0.9466666666666667,0.9461883408071748,0.9892148148148148
0.05,0.95,0.9466666666666667,0.9461883408071748,0.9894123456790125
0.06,0.94,0.9466666666666667,0.9461883408071748,0.9895308641975309
0.07,0.9299999999999999,0.9466666666666667,0.9461883408071748,0.9896888888888888
0.08,0.92,0.9466666666666667,0.9461883408071748,0.9898271604938271
0.09,0.91,0.9488888888888889,0.9483146067415731,0.9900641975308642
0.1,0.9,0.9533333333333334,0.952808988764045,0.9902814814814814
0.11,0.89,0.9533333333333334,0.952808988764045,0.9904592592592594
0.12,0.88,0.9533333333333334,0.952808988764045,0.9904987654320988
0.13,0.87,0.9533333333333334,0.952808988764045,0.9906962962962964
0.14,0.86,0.9533333333333334,0.952808988764045,0.9909135802469136
0.15,0.85,0.9533333333333334,0.952808988764045,0.9909530864197531
0.16,0.84,0.9555555555555556,0.954954954954955,0.9910913580246914
0.17,0.83,0.9555555555555556,0.954954954954955,0.9912691358024692
0.18,0.8200000000000001,0.9555555555555556,0.954954954954955,0.9912888888888889
0.19,0.81,0.9555555555555556,0.954954954954955,0.9914074074074074
0.2,0.8,0.9533333333333334,0.952808988764045,0.9914864197530864
0.21,0.79,0.9533333333333334,0.952808988764045,0.9916049382716049
0.22,0.78,0.9533333333333334,0.952808988764045,0.9916839506172839
0.23,0.77,0.9533333333333334,0.952808988764045,0.9918222222222222
0.24,0.76,0.9533333333333334,0.952808988764045,0.991920987654321
0.25,0.75,0.9533333333333334,0.952808988764045,0.9920987654320987
0.26,0.74,0.9533333333333334,0.952808988764045,0.9922172839506171
0.27,0.73,0.9533333333333334,0.952808988764045,0.9923555555555555
0.28,0.72,0.9533333333333334,0.952808988764045,0.992395061728395
0.29,0.71,0.9533333333333334,0.952808988764045,0.9924740740740741
0.3,0.7,0.9533333333333334,0.952808988764045,0.9925728395061728
0.31,0.69,0.9533333333333334,0.952808988764045,0.9926123456790124
0.32,0.6799999999999999,0.9533333333333334,0.952808988764045,0.9926518518518519
0.33,0.6699999999999999,0.9533333333333334,0.952808988764045,0.9928296296296296
0.34,0.6599999999999999,0.9533333333333334,0.952808988764045,0.9929481481481481
0.35000000000000003,0.6499999999999999,0.9555555555555556,0.9551569506726457,0.9929679012345679
0.36,0.64,0.9555555555555556,0.9551569506726457,0.9930864197530864
0.37,0.63,0.9577777777777777,0.9574944071588367,0.9930074074074073
0.38,0.62,0.9577777777777777,0.9574944071588367,0.9930469135802469
0.39,0.61,0.9577777777777777,0.9574944071588367,0.9931061728395062
0.4,0.6,0.9577777777777777,0.9574944071588367,0.9931456790123457
0.41000000000000003,0.59,0.96,0.9598214285714286,0.9932641975308643
0.42,0.5800000000000001,0.96,0.9598214285714286,0.9932839506172839
0.43,0.5700000000000001,0.96,0.9598214285714286,0.9933037037037037
0.44,0.56,0.9622222222222222,0.9621380846325167,0.993362962962963
0.45,0.55,0.9622222222222222,0.9621380846325167,0.9934222222222222
0.46,0.54,0.96,0.96,0.9935407407407408
0.47000000000000003,0.53,0.96,0.96,0.9934222222222222
0.48,0.52,0.96,0.96,0.993520987654321
0.49,0.51,0.96,0.96,0.9936
0.5,0.5,0.96,0.96,0.9937382716049383
0.51,0.49,0.96,0.96,0.9937777777777778
0.52,0.48,0.96,0.96,0.9938172839506172
0.53,0.47,0.96,0.96,0.9939160493827159
0.54,0.45999999999999996,0.96,0.96,0.9939160493827159
0.55,0.44999999999999996,0.96,0.96,0.9939753086419754
0.56,0.43999999999999995,0.96,0.96,0.9938370370370371
0.5700000000000001,0.42999999999999994,0.96,0.96,0.993758024691358
0.58,0.42000000000000004,0.9555555555555556,0.9555555555555556,0.9938370370370371
0.59,0.41000000000000003,0.9555555555555556,0.9555555555555556,0.9938172839506173
0.6,0.4,0.9555555555555556,0.9555555555555556,0.9938370370370371
0.61,0.39,0.9533333333333334,0.9532293986636972,0.9937975308641975
0.62,0.38,0.9533333333333334,0.9532293986636972,0.9937185185185184
0.63,0.37,0.9533333333333334,0.9532293986636972,0.9936987654320988
0.64,0.36,0.9511111111111111,0.9511111111111111,0.9936987654320988
0.65,0.35,0.9488888888888889,0.9487750556792873,0.9936
0.66,0.33999999999999997,0.9466666666666667,0.9464285714285714,0.9935604938271605
0.67,0.32999999999999996,0.9466666666666667,0.9464285714285714,0.9934222222222223
0.68,0.31999999999999995,0.9466666666666667,0.9464285714285714,0.9933629629629629
0.6900000000000001,0.30999999999999994,0.9466666666666667,0.9464285714285714,0.9932444444444444
0.7000000000000001,0.29999999999999993,0.9466666666666667,0.9464285714285714,0.9932444444444444
0.71,0.29000000000000004,0.9466666666666667,0.9464285714285714,0.9932839506172839
0.72,0.28,0.9466666666666667,0.9464285714285714,0.993125925925926
0.73,0.27,0.9444444444444444,0.9443207126948775,0.9931456790123457
0.74,0.26,0.9444444444444444,0.9443207126948775,0.9929086419753086
0.75,0.25,0.9466666666666667,0.9464285714285714,0.9926518518518519
0.76,0.24,0.9466666666666667,0.9464285714285714,0.9924740740740741
0.77,0.22999999999999998,0.9444444444444444,0.9440715883668904,0.9922962962962963
0.78,0.21999999999999997,0.9444444444444444,0.9440715883668904,0.9920592592592593
0.79,0.20999999999999996,0.9444444444444444,0.9440715883668904,0.9919604938271604
0.8,0.19999999999999996,0.9444444444444444,0.9440715883668904,0.9918814814814816
0.81,0.18999999999999995,0.9466666666666667,0.9464285714285714,0.9916641975308642
0.8200000000000001,0.17999999999999994,0.9466666666666667,0.9461883408071748,0.9915061728395063
0.8300000000000001,0.16999999999999993,0.9444444444444444,0.9440715883668904,0.9911703703703705
0.84,0.16000000000000003,0.9444444444444444,0.9440715883668904,0.9909925925925926
0.85,0.15000000000000002,0.9466666666666667,0.9464285714285714,0.9909135802469136
